company,model_name,year,age,kms_driven,fuel_type,transmission,owner,Price,name,source,price_lakh
Toyota,Fortuner,2017,9,115000,Diesel,Automatic,second,2270500,Toyota Fortuner,kaggle_market,22.7
Mahindra,Bolero Power Plus,2017,9,160000,Diesel,Manual,second,522500,Mahindra Bolero Power Plus,kaggle_market,5.22
Hyundai,Eon,2017,9,27000,Petrol,Manual,second,285000,Hyundai Eon,kaggle_market,2.85
Mg,Hector Plus,2020,6,81600,Petrol,Automatic,first,969950,Mg Hector Plus,kaggle_market,9.7
Hyundai,Creta,2017,9,54000,Petrol,Automatic,first,770450,Hyundai Creta,kaggle_market,7.7
Mahindra,Xuv500,2018,8,76000,Diesel,Manual,first,1068750,Mahindra Xuv500,kaggle_market,10.69
Mercedes-Benz,Gls,2014,12,86000,Diesel,Automatic,first,2850000,Mercedes-Benz Gls,kaggle_market,28.5
Hyundai,I10,2011,15,65000,Petrol,Manual,second,109250,Hyundai I10,kaggle_market,1.09
Mercedes-Benz,Gla Class,2018,8,60000,Diesel,Automatic,second,1377500,Mercedes-Benz Gla Class,kaggle_market,13.78
Kia,Carens,2023,3,24000,Petrol,Manual,first,1163750,Kia Carens,kaggle_market,11.64
Toyota,Innova,2011,15,100231,Diesel,Manual,second,407646,Toyota Innova,kaggle_market,4.08
Maruti Suzuki,Ignis,2023,3,13000,Petrol,Manual,second,579500,Maruti Suzuki Ignis,kaggle_market,5.8
Hyundai,Grand I10,2017,9,47000,Petrol,Manual,first,493999,Hyundai Grand I10,kaggle_market,4.94
Hyundai,Getz Prime,2007,19,115031,Petrol,Manual,second,133000,Hyundai Getz Prime,kaggle_market,1.33
Maruti Suzuki,Swift,2014,12,67000,Petrol,Manual,first,266000,Maruti Suzuki Swift,kaggle_market,2.66
Hyundai,Xcent,2016,10,74500,Diesel,Manual,first,403750,Hyundai Xcent,kaggle_market,4.04
Honda,City,2016,10,93000,Petrol,Automatic,second,546250,Honda City,kaggle_market,5.46
Maruti Suzuki,Ritz,2015,11,59000,Petrol,Manual,first,280250,Maruti Suzuki Ritz,kaggle_market,2.8
Toyota,Innova Crysta,2017,9,79000,Diesel,Automatic,second,1638750,Toyota Innova Crysta,kaggle_market,16.39
Hyundai,Verna,2022,4,69000,Diesel,Automatic,first,1187500,Hyundai Verna,kaggle_market,11.88
Hyundai,Creta,2015,11,76000,Diesel,Automatic,second,617500,Hyundai Creta,kaggle_market,6.18
Kia,Sonet,2020,6,34500,Petrol,Automatic,first,888250,Kia Sonet,kaggle_market,8.88
Ford,Ecosport,2016,10,130000,Diesel,Manual,second,380000,Ford Ecosport,kaggle_market,3.8
Mercedes-Benz,Glc Coupe,2022,4,20000,Diesel,Automatic,first,7125000,Mercedes-Benz Glc Coupe,kaggle_market,71.25
Mahindra,Scorpio-N,2023,3,15905,Diesel,Automatic,first,2232500,Mahindra Scorpio-N,kaggle_market,22.32
Toyota,Innova Crysta,2021,5,21000,Diesel,Manual,first,2018750,Toyota Innova Crysta,kaggle_market,20.19
Mini,Cooper 3 Door,2019,7,13000,Petrol,Automatic,first,3752500,Mini Cooper 3 Door,kaggle_market,37.52
Maruti Suzuki,Ertiga,2015,11,75000,Diesel,Manual,first,413250,Maruti Suzuki Ertiga,kaggle_market,4.13
Volkswagen,Polo,2012,14,80000,Diesel,Manual,second,285000,Volkswagen Polo,kaggle_market,2.85
Maruti Suzuki,Wagon-R,2016,10,50000,Petrol,Manual,first,232750,Maruti Suzuki Wagon-R,kaggle_market,2.33
Tata,Nexon,2022,4,40000,Petrol,Automatic,second,646000,Tata Nexon,kaggle_market,6.46
Maruti Suzuki,Ritz,2013,13,87000,Diesel,Manual,first,365750,Maruti Suzuki Ritz,kaggle_market,3.66
Toyota,Etios,2015,11,155000,Diesel,Manual,second,559550,Toyota Etios,kaggle_market,5.6
